Course Code,Course Title
ASF3006,Avionics for Flights
ASF2008,Industrial Aerodynamics
ASE3007,Smart Materials for Aerospace
ASE3008,Hypersonic Aerodynamics
ASE3009,Composite Materials and Mechanics
ASE3010,Rockets and Missile Technology
ASE2003,Mechanisms and Machine Theory
ASE5002,Satellite Design
ASE4002,Aircraft Maintenance and Air Traffic Management
ASE4003,Experimental Aerodynamics
ASE4004,Satellite Communication and Satellite Technology
ASE4005,Aeroelasticity
ASE4006,Introduction to Astrophysics and Space Environment
ASE4007,Space Vehicle Design and Simulation
CHY1002,Environmental Science
MAT3001,Complex Variable and Partial Differential Equation
PHY1004,Fundamentals of Space Physics
PHY2001,Materials Science
PHY2002,Energy and Environmental Physics
ENG1001,Communication for Technical Professionals
ENG2001,Technical Writing and Composition
STS1001,Soft Skills I
STS2001,Soft Skills II
EXC1001,Extra Curricular Activity
MGT1012,Engineering Economics
HUM1004,IT and Society
HUM1006,Anthropology for Engineers
PLA1001,Placement Training I
PLA1002,Placement Training II
CSG1001,Introduction to Game Design
CSG1002,Game Programming
CSG3001,Gaming Hardware fundamentals and applications
CSG3002,Artificial Intelligence and machine learning for Gaming
CSG2004,Computer Graphics and Multimedia
CSG2005,Computer Vision and Robotics
CSG4004,Multi-threaded Programming
CSG4006,Animation Mechanics and application
CSG4010,HTML5 Game Development
CSG4014,Competitive Programming
PHY1002,Game Physics
PHY2005,Game Physics Development (Physics Engine)
ENG2003,Interactive Narrative
SST1002,Soft Skills for Engineers - I
SST2002,Soft Skills for Engineers - II
MAT3009,Design Geometry
PHY2003,Computational Physics
HUM1013,Indian Culture And Heritage
HUM1014,Indian Constitution
MGT2011,Gender, Culture and Stereotyping in Gaming
PLA1003,Logic and Problem Solving for Engineers
MGT2004,Supply Chain Management
